R&D Spend,Administration,Marketing Spend,State,Revenue,Customers,CAC,LTV,Expenses,Burn_Rate,Run_Rate,LTV_CAC_Ratio,Month,Cohort
165349.2,136897.8,471784.1,New York,192261.83,472,999.5425847457626,407.3343855932203,774031.1,581769.27,2307141.96,0.4075207918198176,2023-01-31,2023-01
162597.7,151377.59,443898.53,California,191792.06,444,999.771463963964,431.9640990990991,757873.8200000001,566081.76,2301504.7199999997,0.4320628410281061,2023-02-28,2023-02
153441.51,101145.55,407934.54,Florida,191050.39,408,999.8395588235294,468.2607598039216,662521.6,471471.20999999996,2292604.68,0.46833590016672777,2023-03-31,2023-03
144372.41,118671.85,383199.62,New York,182901.99,384,997.9156770833333,476.30726562499996,646243.88,463341.89,2194823.88,0.47730211736640027,2023-04-30,2023-04
142107.34,91391.77,366168.42,Florida,166187.94,367,997.7341144414169,452.828174386921,599667.53,433479.59,1994255.28,0.45385656141509967,2023-05-31,2023-05
131876.9,99814.71,362861.36,New York,156991.12,363,999.6180716253443,432.4824242424242,594552.97,437561.85,1883893.44,0.43264766466178706,2023-06-30,2023-06
134615.46,147198.87,127716.82,California,156122.51,128,997.78765625,1219.707109375,409531.14999999997,253408.63999999996,1873470.12,1.2224115038254162,2023-07-31,2023-07
130298.13,145530.06,323876.68,Florida,155752.6,324,999.6193827160494,480.71790123456793,599704.87,443952.27,1869031.2000000002,0.48090094044436915,2023-08-31,2023-08
120542.52,148718.95,311613.29,New York,152211.77,312,998.7605448717948,487.85823717948716,580874.76,428662.99,1826541.2399999998,0.48846366597522206,2023-09-30,2023-09
123334.88,108679.17,304981.62,California,149759.96,305,999.939737704918,491.01626229508196,536995.6699999999,387235.70999999996,1797119.52,0.49104585384522514,2023-10-31,2023-10
101913.08,110594.11,229160.95,Florida,146121.95,230,996.3519565217392,635.3128260869565,441668.14,295546.19,1753463.4000000001,0.637638960739166,2023-11-30,2023-11
100671.96,91790.61,249744.55,California,144259.4,250,998.9781999999999,577.0376,442207.12,297947.72,1731112.7999999998,0.577627820106585,2023-12-31,2023-12
93863.75,127320.38,249839.44,Florida,141585.52,250,999.35776,566.34208,471023.57,329438.05000000005,1699026.2399999998,0.5667060412879568,2024-01-31,2024-01
91992.39,135495.07,252664.93,California,134307.35,253,998.6756126482213,530.8590909090909,480152.39,345845.04000000004,1611688.2000000002,0.5315630863373085,2024-02-29,2024-02
119943.24,156547.42,256512.92,Florida,132602.65,257,998.1047470817122,515.9636186770427,533003.5800000001,400400.93000000005,1591231.7999999998,0.5169433570831441,2024-03-31,2024-03
114523.61,122616.84,261776.23,New York,129917.04,262,999.1459160305344,495.86656488549613,498916.68000000005,368999.6400000001,1559004.48,0.4962904385932977,2024-04-30,2024-04
78013.11,121597.55,264346.06,California,126992.93,265,997.5323018867924,479.2186037735849,463956.72,336963.79,1523915.16,0.480404096054997,2024-05-31,2024-05
94657.16,145077.58,282574.31,New York,125370.37,283,998.4957950530036,443.00484098939927,522309.05,396938.68,1504444.44,0.44367221492994174,2024-06-30,2024-06
91749.16,114175.79,294919.57,Florida,124266.9,295,999.7273559322034,421.2437288135593,500844.52,376577.62,1491202.7999999998,0.42135860973891964,2024-07-31,2024-07
86419.7,153514.11,0.0,New York,122776.86,1,0.0,122776.86,239933.81,117156.95,1473322.32,inf,2024-08-31,2024-08
76253.86,113867.3,298664.47,California,118474.03,299,998.8778260869565,396.23421404682273,488785.63,370311.6,1421688.3599999999,0.3966793572733978,2024-09-30,2024-09
78389.47,153773.43,299737.29,New York,111313.02,300,999.1243,371.0434,531900.19,420587.1699999999,1335756.24,0.3713686074895787,2024-10-31,2024-10
73994.56,122782.75,303319.26,Florida,110352.25,304,997.7607236842106,363.00082236842104,500096.57,389744.32,1324227.0,0.3638155058139071,2024-11-30,2024-11
67532.53,105751.03,304768.73,Florida,108733.99,305,999.241737704918,356.5048852459017,478052.29,369318.3,1304807.8800000001,0.356775414590598,2024-12-31,2024-12
